Employer,Job Title/Position,Salary,Job Description,Status
Veterans Health Administration,"Physician - Director, Oncology and Chronic Disease Research","$275,000 - $350,000","The 2-page Resume requirement does not apply to this occupational series. For more information, refer to Required Documents below. The VA Boston Healthcare System (VABHS) seeks an innovative hematology-oncology physician to serve as both a clinician and a leader of a large national cancer and chronic disease research program.",Currently Open
Veterans Health Administration,"Physician - Director, Oncology and Chronic Disease Research","$275,000 - $350,000",,Currently Open
Veterans Health Administration,Physician - Endocrinologist,"$210,000 - $270,000","The 2-page Resume requirement does not apply to this occupational series. For more information, refer to Required Documents below. The Endocrinologist will be responsible for providing Endocrinology, Diabetes, and Metabolism care at specific locations within the VA Boston Healthcare System and its enclaves as assigned.",Currently Open
Veterans Health Administration,Physician - General Internal Medicine,"$205,000 - $260,000","The 2-page Resume requirement does not apply to this occupational series. For more information, refer to Required Documents below.",Currently Open
Veterans Health Administration,Physician - General Internal Medicine,"$205,000 - $260,000",,Currently Open
Veterans Health Administration,Physician - Geriatrics,"$210,000 - $250,000","This position is eligible for the EDRP, a student loan payment reimbursement program. You must meet specific individual eligibility requirements in accordance with VHA policy and submit your EDRP application within four months of your start date. Approval, award amount (up to $200,000) and eligibility period (one to five years) are determined by the VHA Education Loan Repayment Services program office after complete review of the EDRP application.",Currently Open
Veterans Health Administration,Physician - Geriatrics,"$210,000 - $250,000",,Currently Open
Veterans Health Administration,Physician - Heart Failure Jr. Attending,"$265,000 - $350,000","The 2-page Resume requirement does not apply to this occupational series. For more information, refer to Required Documents below.",Currently Open
Veterans Health Administration,Physician - Heart Failure Jr. Attending,"$265,000 - $350,000",,Currently Open
Veterans Health Administration,Physician - Hematology/Oncology,"$225,000 - $348,000","The 2-page Resume requirement does not apply to this occupational series. For more information, refer to Required Documents below.",Currently Open
